家居 	 屋顶花园 与 室内 生动 的 空间 关系 ( 图 ) 如今 ， 伴随 着 企业 在 办公 模式 、 管理 方式 ， 内部 组织 结构 的 变化 ， 对 办公 空间 也 提出 了 新 的 要求 。 设计师 认为 办公建筑 更 像是 承载 着 工作人员 活动 的 容器 ， 需要 有 充分 的 流动性 和 适应性 ， 用来 满足 不同 的 功能 的 需要 。 我们 可以 清晰 的 看见 在 空间 处理 上 ， 室内 以 规整 有序 的 建筑 结构 为 三维 框架 ， 在 立体 的 框架 中 设置 不同 的 功能 单元 ( 会议 、 办公 、 接待 等 ) ， 通过 中庭 楼梯 等 多种形式 的 交通 空间 将 其 串联 起来 。 置身 在 办公 空间 内部 的 人们 ， 在 感受 令人 愉悦 的 内部 外部 景观 的 同时 ， 也 能 感受 到 室内外 花园 、 屋顶花园 与 建筑 、 室内 生动 的 空间 关系 。 
 家居 	 床头 桌 的 背景 以 添加 趣味性 ( 图 ) 布置 编织 框架 作为 床头 桌 的 背景 以 添加 趣味性 。 使用 收藏 的 编织 筐 来 收纳 简单 的 物品 ， 选择 与 床饰 搭配 和谐 的 灯具 令 一切 更加 舒适 养眼 。 
 家居 	 床头 虚幻 法 ( 图 ) 四 、 床头 虚幻 法   在 床头 一边 或 两边 ， 距墙 约 二十 到 四 十公分 的 位置 ， 竖 一块 高大   的 板材 ， 内 藏 床头灯 ， 造成 一个 虚幻 的 空间 ， 使 床头 部分 更加 富有 扩张 、 神秘 的 魅力 。   
 家居 	 床头 造势 法 ( 图 ) 二 、 床头 造势 法   就 一般 床 的 构造 而言 ， 床头 的 高度 欠缺 气   势 。 因此 ， 对 床头 的 那 面墙 有 必要 进行 特别 的 装饰 ， 如用 板材 或 装饰布 等 ， 装饰 出几 平方米 的 面   积 ； 此外 ， 用 纺织 面料 制作 的 床头 的 “ 床幔 ” ， 好似 人 的 头饰 ， 大有可为 ， 如用 窗帘布 垂挂 、 对   开等 造型 ， 犹如 给 床 戴 上 了 花 头巾 。   
 家居 	 床头 阅读 灯 非常 实用 ( 图 ) 可以 自由 摆动 的 床头 阅读 灯 非常 实用 ， 结合 床头 桌 的 色彩 ， 柳条 编织 箱 添加 了 丰富 的 质感 。 
 家居 	 床头 靠空   缺乏 安全 ( 图 ) 2 . 床头 靠空 ， 缺乏 安全   睡床 是 用作 休息 的 地方 ， 若床 留空 ， 则 缺乏 安全感 ， 会 有 不 舒适 的 感觉 。 所谓 留空 是 指 没有 背山 或 靠山 的 意思 。 当 我们 熟睡 或 做 萝 的 时候 ， 身体 就 会 不知不觉 地 四周 移动 ， 头部 可能 走出 睡床 范围 因而 受伤 。   2 . 床头 靠空 ， 缺乏 安全   睡床 是 用作 休息 的 地方 ， 若床 留空 ， 则 缺乏 安全感 ， 会 有 不 舒适 的 感觉 。 所谓 留空 是 指 没有 背山 或 靠山 的 意思 。 当 我们 熟睡 或 做 萝 的 时候 ， 身体 就 会 不知不觉 地 四周 移动 ， 头部 可能 走出 睡床 范围 因而 受伤 。   2 . 床头 靠空 ， 缺乏 安全   睡床 是 用作 休息 的 地方 ， 若床 留空 ， 则 缺乏 安全感 ， 会 有 不 舒适 的 感觉 。 所谓 留空 是 指 没有 背山 或 靠山 的 意思 。 当 我们 熟睡 或 做 萝 的 时候 ， 身体 就 会 不知不觉 地 四周 移动 ， 头部 可能 走出 睡床 范围 因而 受伤 。 
 家居 	 床 有点 吓人   感觉 是 豹皮 ( 图 ) 8 万 装修 复式房 ， 主打 色 ： 橙色 ， 很 甜蜜 温馨 的 色调 ， 特别 适合 结婚 用房 。 一切 都 显得 温暖 可人 ， 快 来看 看吧 ：   
 家居 	 床饰 色彩 巧 搭配   五类 空间 五种 风格 ( 组图 ) 为什么 要 局限于 整套 的 床饰 方案 ？ 无需 购买 一系列 的 视频 组合 ， 将 您 自己 现有 的 床单 搭配 、 组合 ， 来 创造 属于 您 自己 的 创意 配饰 。 亮 橙色 的 纯棉 质地 床单 ， 舒适 、 柔软 ， 适合 全年 使用 。 取代 床罩 ， 使用 这样 草裙 式 的 设计 ， 为 房间 添加 有趣 而 时髦 的 元素 。 为什么 要 局限于 整套 的 床饰 方案 ？ 无需 购买 一系列 的 视频 组合 ， 将 您 自己 现有 的 床单 搭配 、 组合 ， 来 创造 属于 您 自己 的 创意 配饰 。 亮 橙色 的 纯棉 质地 床单 ， 舒适 、 柔软 ， 适合 全年 使用 。 取代 床罩 ， 使用 这样 草裙 式 的 设计 ， 为 房间 添加 有趣 而 时髦 的 元素 。 
 家居 	 底层 橱柜 装饰 细节 ( 图 ) 底层 橱柜 装饰 细节 。 如果 家中 有 孩子 或 宠物 的话 ， 请 保证 橱柜 内 的 物品 可以 安全 的 被 拿 取 、 碰触 。 
 家居 	 庭院 中 的 大地 艺术 ( 图 ) 3   庭院 中 的 大地 艺术 模仿 大地 艺术 做出 的 螺旋 纹样 给 空间 增加 了 很多 神秘感 和 趣味性 ， 其实 在 石子 散堆 的 螺纹 部分 ， 可以 只 堆放 石子 ， 还 可以 散铺 玻璃球 、 贝壳 、 糖果 等 让 人 意想不到 的 装饰物 ， 让 庭院 更加 艺术 生动 起来 。 
 家居 	 庭院 分区   完美 衔接 室内 乐趣 ( 组图 ) 比尔 是 一位 景观 设计师 ， 他 在 圣地亚哥 购买 了 一座 建造 于 上 世纪 20 年代 的 宅子 ， 带有 1000 平方米 的 花园 ， “ 我 可以 尽情 发挥 ！ 将 那里 打 造成 一个 理想 中 的 室外 桃源 ！ ” 
 家居 	 庭院 深深   防范 式 老洋房 ( 图 ) 旗袍 女人 陈数 ： 庭院 深深   防范 式 老洋房 《 倾城 之恋 》 里 陈数 扮演 的 是 上海 来 的 白家 小姐 白流苏 ， 在 剧中 的 旗袍 ， 都 是 由 业内 著名 的 服装 设计师 量身 定制 ， 甚至 有 网友 称 陈数 为 最美 旗袍 代言人 。   
 家居 	 庭院 风格 的 沙发 搭配 布置 ( 图 ) 编辑 点评 ： 庭院 风格 的 沙发 搭配 布置 ， 白色 的 布衣 软装 与 编织 椅 的 搭配 ， 让 居家 的 你 ， 在 享受 清凉 夏日 的 同时 感受 一份 柔软 与 舒适 。 柔美 的 沙发 与 庄园 的 大气 优雅 和谐 统一 ， 让你在 夏季 ， 拥有 一个 清凉 的 私密 后花园 。 
 家居 	 延伸 橱柜 打造 实用 餐桌 ( 图 ) 延伸 橱柜 打造 实用 餐桌 柔和 、 素雅 的 颜色 和 简洁 大方 的 造型 ， 适合 不同 风格 的 居室 空间 。 利用 厨房 有 较 宽 直径 这一 优势 ， 打造出 的 餐台 既 延续 了 橱柜 的 设计 ， 也 为 就餐 提供 了 方便 。   延伸 橱柜 打造 实用 餐桌 柔和 、 素雅 的 颜色 和 简洁 大方 的 造型 ， 适合 不同 风格 的 居室 空间 。 利用 厨房 有 较 宽 直径 这一 优势 ， 打造出 的 餐台 既 延续 了 橱柜 的 设计 ， 也 为 就餐 提供 了 方便 。 
 家居 	 建筑 本身 起到 了 隔热层 的 作用 ( 图 ) 如今 花木扶疏 的 旧式 庭院 已渐 行渐 远 ， 然而 那些 自古 便 为 骚人墨客 所 吟咏 、 寄托 情怀 的 花草 们 却 还 依旧 灿烂 ； 其实 ， 真正 的 山水 隐居 还是 一件 很 困难 的 事 ， 现代 都市 的 别墅 也 不 一定 都 是 中式 庭院 ， 但 人们 可以 运用 同样 的 植物 元素 寄托 现代 的 隐逸 情怀 。 在 造园 之初 ， 主人 大可 坦言 当时 想到 的 是 旧式 的 宅院 ， 有 一棵 浓荫 大树 蔽 遮 ， 全家 大小 得以 安居 其中 ， 并 没过 多 考虑 园艺 风格 的 问题 。 但 在 实际 造园 中 ， 主人 的 文人 气质 通过 柴扉 、 亭阁 、 山石 、 山泉 、 绿植 等 众多 元素 不经意 地 流露出来 ： 平淡 、 自然 、 真诚 、 质朴 。 
 家居 	 建筑界 的 诗人 保罗 ・ 安德鲁 ( 图 ) 保罗 · 安德鲁 ， 法国 建筑师 与 工程师 ， 1938 年 出生 。 法国 国家 建筑 奖 获得者 ， 在 建筑 圈有 “ 诗人 ” 的 称呼 ， 设计 过 超过 五十 座 飞机场 ， 中国 国家大剧院 设计者 。 创新 并 不 意味着 鄙视 生命 曾经 留给 我们 的 ， 更 不是 要 鲁莽地 摧毁 它 。 不 ， 创新 决不 应该 鄙视 和 摧毁 ， 而是 必须 萌发 出 某种 全新 的 东西 ， 某种 前所未闻 、 前所未有 的 东西 来 满足 一个 群体 的 需要 。 在 未来 ， 这种 全新 的 、 脱离 常规 的 事物 将会 被 理解 ， 成为 时代 的 标志 。 没有 人类 与 建成 空间 的 冲突 ， 没有 由此 引发 的 人 的 思想 与 感情 ， 就 根本 没有 建筑 。 设计 建筑 时 ， 我 经常 探寻 的 是 其内 在 的 连贯性 、 明晰 性 及其 与 外界 的 联系 ， 建筑 建成 后 并 不是 形成 一个 封闭 的 世界 ， 而是 与 场所 、 土地 和 更 综合 的 环境 结合 在 一起 的 ， 是 总体 环境 的 一部分 。 建筑师 的 作品 除了 供 人 居住 外 唯一 受欢迎 的 功能 就是 接受 凝视 ， 也就是说 ， 被 他人 观察 、 感知 、 使用 、 想象 、 体验 、 记忆 和 描述 。 我 相信 感觉 不是 孤立 的 ， 一种 感觉 会 和 另 一种 感觉 相互影响 ， 相互 增强 或 抵消 。 有时 声音 会 阻碍 视觉 ， 有时 图像 会令 你 听不见 ， 触觉 和 味道 都 会 转移 我们 的 注意力 。 最 常见 的 情况 是 同时 连续 的 各种 感觉 混融 在 一起 相互 加强 。 我 认为 音乐厅 的 形状 、 灯光 、 颜色 、 入口 的 样子 构成 了 音乐会 听觉 的 条件 ， 甚至 与 声音 的 效果 同样 重要 。 说 到 光 ， 很 容易 将 光与影 对立 起来 思考 。 如同 白色 的 各种 微妙 差异 ， 光与影 也 存在 着 丰富 的 层次 ， 它们 形成 的 是 立体 的 、 空间 的 整体 ， 有 体积 、 有 容量 。 我 总想 认真 处理 光 的 微妙 差异 ， 而 不仅 是 其 透明性 。 我 试图 创造 的 是 精致 严密 交织 为 一个 空间 整体 的 光 的 品质 差异 。 自由 的 重要 对 创作者 而言 ， 并 不是 那些 给 他 的 自由 ， 而是 他 自己 发现 和 接受 的 自由 。 在 设计 创作 过程 中 ， 除了 对 逻辑 条理 和 建筑 本身 的 考虑 外 ， 常常 有 某种 潜意识 的 东西 在 我 毫无知觉 的 情况 下 萌芽 、 发展 ， 最终 成为 整个 设计 的 点睛之笔 和 最具 创新 精神 的 部分 。 真正 的 奢侈 不是 昂贵 的 材料 ， 而是 头脑 中 的 想法 。 没有 什么 东西 可以 真正 做到 完美无缺 ， 追求 完美 可能 会 导致 建筑 内容 的 枯竭 ， 这是 一种 挖空 建筑 内涵 和 感觉 的 方式 。 如今 ， 我 终于 明白 了 不 完美 也 具有 独特 的 魅力 。 建筑 的 活力 在于 其 始终 处于 一种 未 完成 状态 的 感觉 ， 使 之 完成 需要 将光 、 风 、 水等 自然 要素 加入 其中 。 建筑 是 在 与 不同 思想 的 交流 中 发展 出来 的 。 我 坚信 通过 与 诗 、 文学 、 音乐 、 绘画 和 科学 的 交流 ， 更能 使 建筑 得到 繁荣 。 我能 找到 的 对 建筑师 的 最好 定义 是 ： 建筑师 是 对 一座 建筑 付出 最多 的 人 — — 甚 于 其他 任何人 。 他 设计 并 建造 了 它 ， 更 确切 地说 ， 这项 任务 超出 了 个体 的 能力 极限 。 建筑师 集 想象 、 技能 、 天赋 和 毅力 于 一身 ， 他 还 需 控制 与 协调 所有 的 这些 ， 造 出 适合 他人 使用 的 房子 。 建筑 深深 扎根 于 技术 和 经济 的 世界 中 ， 当 试图 让 建筑 充满活力 、 充满 期待 时 ， 是 需要 超越 技术 和 经济 世界 的 ， 这种 超越 只能 通过 不断 打破 已有 的 习惯 来 唤醒 和 获得 。 只有 这样 ， 建筑 才能 以 谦逊 的 姿态 获得 艺术 带来 的 天赐 之福 ， 充满活力 、 充满 无法 预知 的 期待 。 在 功用 性 之外 ， 建筑 并 不是 中性 的 或者说 不 应该 是 中性 的 。 相反 ， 建筑 从来 都 和 别的 艺术 一样 ， 给 世界 增添 了 生命 。 每个 人 都 会 看到 、 都 会 询问 ， 都 想 揭示 它 是 什么 ， 从 哪里 来 。   
 家居 	 开放式 互 紧密 的 公共 区域 ( 图 ) 玄关 、 餐厅 、 客厅 形成 开放式 互 紧密 的 公共 区域 ; 玄关 地面 使用 高贵 大理石 铺设 ; 绵密 的 方格 纹理 与 客厅 形成 区隔 ， 带来 独立 的 空间感 。 简洁 的 主墙 贴近 窗边 ; 面海 的 景观 ， 透过 轻盈 的 窗纱 为 室内 带来 视野 的 延伸 。 对应 全室 华贵 宫风 的 艺术 气息 ， 厅 内 特别 依 空间 比例 搭配 姿态 优美 的 纯手工 订 ? ? 俱 ， 极尽 瑰丽 细腻 的 工笔 。 主墙 柜体 精选 黑云 石 ? 面 ， 对称 两端 方柱 底部 的 玻璃 马赛克 ， 仔细 拼出 完整 而 连续 的 肌理 ， 连贯 一气呵成 的 气势 。 
 家居 	 开放式 厨房   自由 开阔 ( 图 ) 开放式 厨房 ， 自由 开阔 ， 延伸 风格 ， 大气 十足 。 
 家居 	 开放式 的 客厅   采用 落地 玻璃 设计 ( 图 ) 客厅 是 小户型 营造 空间 的 主要 载体 ， 合理 布置 的 客厅 可以 让 小 空间 得以 延伸 ， 视野 不 被 束缚 ， 创造 更 开阔 的 空间 。 建议 选择 单人 的 扶手椅 作为 客厅家具 ， 既 能 节省 空间 ， 又 有 装饰 的 美感 。   
 家居 	 开放式 的 收纳 空间 ( 图 ) 你 的 盥洗 池 是否 还是 乱糟糟 的 呢 ？ 如果 那样 ， 你 就 该 马上 改变 啦 ！ 内 嵌入式 的 设计 ， 黑色 电压 的 外框 ， 开放式 的 收纳 空间 ， 提供 了 实用 而且 美观 的 收纳 思路 。 
 家居 	 开放式 老洋房   锁不住 的 春色 ( 图 ) 旗袍 女人 汤 唯 ： 开放式 老洋房   锁不住 的 春色 有心人 仔细 计算 过 ， 汤唯在 《 色 · 戒 》 里 前前后后 共换 了 27 件 旗袍 ， 让 人 看 得 叹为观止 。 导演 李安在 《 色 · 戒 》 中 透过 王佳芝 身上 旗袍 的 样式 与 质料 ， 点 出 女主角 所 面对 环境 的 改变 。   1930 年代 是 旗袍 最 光辉灿烂 的 年代 。 王佳芝 身处 的 1942 年 ， 旗袍 仍 在 其 黄金时代 上 延续 ， 27 件 旗袍 勾勒 出 上海 女子 的 一派 风情 。 
 家居 	 开放 简约 家居 ( 图 ) 开放 简约   240 平米 的 SoHo 一族 时尚家居 
 家居 	 开门 不 占地   新 分隔 模式 ( 图 ) 第七 、 开门 不 占地 充分运用 轨道 式 拉门 的 方便 特点 ， 以 增加 空间 的 机动性 。 第八 、 新 分隔 模式 妥善 运用 装饰布 ， 既 可 营造 温馨 的 居家 空间 ， 又 可以 根据 当时 潮流 随时 更换 。 比如 ， 自 天花板 悬挂 的 织物 ， 不仅 有效 分隔 空间 ， 也 可以 在 不用 时拉起 布幔 而 拓展 空间 。 
 家居 	 异域 手工艺   延展 职业 空间 ( 图 ) 异域 手工艺   延展 职业 空间 保罗 和 劳伦 对 各自 的 专业 很 熟悉 ， 劳伦 曾经 是 个 织工 ， 而 保罗 做过 制陶 工人 ， 他们 在 艺术 学校 相识 ， 并且 作品 都 曾 在 艺术品 公司 和 周末 集市 上 出售 过 。 后来 他们 对 艺术 的 热情 有 了 巨大 转变 ， 他们 发现自己 对 销售 当代 手工 艺术品 的 热情 要 高于 制作 艺术品 。 “ 我们 喜欢 艺术品 零售 带来 的 挑战 和 对 你 的 能力 考验 ， 这 很 复杂 ， 让 整个 生意 运转 起来 简直 令人兴奋 。 看到 它们 进入 优秀 的 商店 出售 是 件 美妙 的 事情 。 ” 保罗 说道 。 
 家居 	 异域 风情   华美 生活 ( 组图 ) 一处 将近 600 平方米 的 别墅 ， 如何 充分体现 主人 对 生活 的 理解 ， 并且 很 好 地 协调 各类 风格 使 之 在 大 空间 中 融洽 和谐 ， 可不是 一件 易事 。 幸运 的 是 ， 女主人 碰到 了 一位 “ 志同道合 ” 的 设计师 ， 于是 ， 一个 绚丽 张扬 但 又 不失 居家 暖意 的 家 诞生 了 。   玄关 与 客厅 · 戏剧 观感   踏进 玄关 ， 紫红色 的 纱质 幔 帘 重重叠叠 ， 在 头顶 上 铺展开来 ， 衬托 着 精致 的 黄色 水晶 吊灯 。 镜子 和 桌子 的 孔雀 造型 、 刻画 逼真 的 铜 身小象 传达 了 浓郁 的 东南亚 风情 ， 小小的 场景 让 人 目不暇接 犹如 一个 华丽 的 舞台 ， 碎石 马赛克 拼出 一幅 绚丽 的 图案 ， 让 人 忍不住 驻足 仔细 欣赏 。 原 开放 的 玄关 被 改造 成 了 半封闭 ， 与 客厅 都 保持 各自 的 独立 与 完整性 。   客厅 里 家具 、 饰物 、 布艺 的 色彩艳丽 、 造型各异 ， 热情 交融 ， 让 空间 显得 饱满 紧凑 。 三扇 落地 大窗 带来 了 明亮 充足 的 自然 光线 。 紫 缎面 的 沙发 和 深褐色 的 家具 奠定 了 客厅 的 整个 基调 。 松石 蓝 的 靠垫 既 活跃 了 沉重 的 色调 氛围 ， 也 带来 了 明快 的 民族 情调 。 深色 家具 上满 是 描金 绘彩 ， 异域 风格 鲜明 又 不会 显得 沉闷 压抑 。   客厅 正面 严谨 对称 的 布局 使 壁炉 成为 视线 的 中心 ， 壁炉 上方 漏斗 型 的 凸墙 处理 从 视觉 上 让 不 大 的 客厅 充满 张力 ， 大度 非凡 ， 灰色 的 壁纸 贴面 更 让 这 墙面 从 一片 浓郁 的 紫色 中 跳脱 出来 。 壁炉 围边 细致 地 描金 刻花 ； 折皱 效果 的 金色 铜镜 ； 欧式 帘头 ， 这里 如 欧洲 古堡 一样 内敛 地 奢华 着 ， 在 这片 欧洲 贵族 气息 里 ， 前面 的 小 屏风 显然 又 是 东方 味道 ， 一处 小小的 景别 ， 就是 东西方 融合 的 最佳 写照 。   
 家居 	 引人注目 的 黑色 相框 ( 图 ) 引人注目 的 黑色 相框 ， 几何 形体 整齐 排列 ， 与 房间 的 白色 形成 强烈 的 视觉 对比 ， 非常 具备 装饰 效果 。 
 家居 	 引领 2010 年 家居 潮流 ( 组图 ) 09 年 已经 过半 ， 不少 研究 机构 和 企业 都 发布 了 家居 潮流 预测 。 烟 粉色 、 大量 的 花朵 图案 以及 带有 一点点 慵懒 的 Dandy 风格 ， 亮 而 不 闪 、 美而 不娇 ， 闪烁着 一派 幽雅 的 花样 光芒 。 另外 ， 家装 风格 将 更 趋向 多元化 ， 在 居室 中 纯粹 一种 风格 存在 的 可能性 更 小 ， 设计师 自由发挥 的 空间 越来越 大 。 原生态 与 高科技 、 华丽 与 简约 、 民族 与 现代 ， 多种 风格 的 混 搭 将 成就 2010 年 自然 和谐 的 家居 风格 。 
 家居 	 张弥   在 家里 尽情 展示 自我 ( 组图 ) 张弥家 的 调子 就 像 她 的 肌肤 ， 沙发 就 像 她 的 衣服 ， 画 就 像 她 的 帽子 ， 色彩 就 如同 她 的 心境 。 张弥 的 家 ， 就 如同 她 的 歌声 。 张弥是 快乐 的 ， 是 独立 的 ， 是 真实 的 。 在 张弥 的 家中 ， 感觉 很 是 安宁 ， 这种 安宁 的 感觉 不是 取决于 耳朵 ， 而是 来自 于 眼睛 。 一个 家 ， 能够 映射 出 一个 人 的 内心深处 ， 经历 了 早年间 的 风波 ， 结束 了 在 欧洲 四年 的 游历 之后 ， 先前 热热闹闹 的 张弥 如今 已 皈依 佛家 ， 寻求 一个 真实 的 自我 ， 喧嚣 的 红尘 落定 之后 ， 便是 追寻 曾经 失落 的 平静 。 点睛 一进 张弥 的 家 ， 红色 迎面而来 ， 那 是 家中 的 主要 色调 ， 灿烂 却 又 有些 神秘 ， 热烈 却 又 透露 出 平和 ， 那种 红色 深沉 而 不 明艳 ， 让 人 想到 的 是 故宫 或 庙堂 的 墙 ， 尤其 难得 的 是 这 红色 的 质感 ， 并 不是 平铺直叙 ， 而是 如 羊皮纸 一般 ， 透出 错综 的 纹路 。 辅之以 红色 的 是 点缀 在 房门 、 踢脚线 的 白 ， 沙发 的 黑色 在 厅 中 占据 了 大面积 空间 ， 使 整个 家 的 色彩 稳稳地 沉落 下来 。 房间 中 的 家具 陈设 并不多 ， 饰物 的 装点 简单明了 ， 可是 在 灯光 和 色彩 的 映衬 下 ， 却 非常 耐看 。 
